Município,Aprovou?,Data aprovação,Atualização,Atualização 2,População,Projeto?,Aprovado?,Sancionado?
Não-Me-Toque/RS,Sim,13/12/2022,,,17.886,,,
Tapes/RS,Sim,28/07/2021,,,17.363,,,
Xangri-lá/RS,Sim,17/01/2022,,,17.126,,,
Agudo/RS,Sim,31/12/2021,,,16.344,,,
Getúlio Vargas/RS,Sim,11/12/2020,,,16.158,,,
São Pedro do Sul/RS,Sim,07/12/2022,,,16.100,,,
Giruá/RS,Sim,09/09/2021,,,15.729,,,
Restinga Sêca/RS,Sim,24/09/2021,,,15.702,,,
Espumoso/RS,Sim,13/07/2021,,,15.594,,,
Bom Princípio/RS,Sim,22/09/2020,,,14.446,,,
Arroio dos Ratos/RS,Sim,19/06/2020,21/08/2023,,14.201,,,
Santo Cristo/RS,Sim,15/12/2021,,,14.177,,,
Santo Augusto/RS,Sim,31/05/2023,,,13.813,,,
Feliz/RS,Sim,05/10/2021,,,13.728,,,
Crissiumal/RS,Sim,05/10/2021,,,13.269,,,
Antônio Prado/RS,Sim,13/02/2020,,,13.041,,,
Cerro Grande do Sul/RS,Sim,18/08/2020,,,12.579,,,
Bom Retiro do Sul/RS,Sim,08/06/2020,,,12.448,,,
Cacequi/RS,Sim,17/10/2022,,,12.291,,,
Capela de Santana/RS,Sim,04/08/2020,,,12.183,,,
Pinheiro Machado/RS,Sim,Sem data,,,12.122,,,
Vale do Sol/RS,Sim,26/12/2019,,,11.873,,,
Nonoai/RS,Sim,13/07/2022,,,11.574,,,
Roca Sales/RS,Sim,21/08/2020,,,11.556,,,
Jaguari/RS,Sim,24/08/2021,,,10.684,,,
Seberi/RS,Sim,03/12/2019,,,10.678,,,
Fontoura Xavier/RS,Sim,22/07/2021,,,10.181,,,
Sinimbu/RS,Sim,04/01/2021,,,10.152,,,
Porto Xavier/RS,Sim,10/03/2020,,,10.144,,,
Nova Bassano/RS,Sim,05/05/2020,,,10.089,,,
Santo Antônio das Missões/RS,Sim,25/05/2021,,,9.930,,,
Constantina/RS,Sim,07/12/2021,,,9.903,,,
Casca/RS,Sim,09/06/2020,,,9.070,,,
Jóia/RS,Sim,06/04/2021,,,8.571,,,
Paverama/RS,Sim,07/08/2020,,,8.541,,,
Caraá/RS,Sim,12/07/2022,,,8.426,,,
Entre-Ijuís/RS,Sim,19/03/2020,25/01/2023,,8.350,,,
General Câmara/RS,Sim,05/07/2021,,,8.339,,,
Glorinha/RS,Sim,05/11/2021,05/11/2021,03/01/2023,8.304,,,
Minas do Leão/RS,Sim,20/05/2021,,,8.130,,,
Salvador do Sul/RS,Sim,03/12/2019,,,7.975,,,
Santa Bárbara do Sul/RS,Sim,03/12/2019,,,7.813,,,
Paraí/RS,Sim,07/01/2020,,,7.793,,,
São Miguel das Missões/RS,Sim,04/09/2020,,,7.692,,,
Segredo/RS,Sim,09/01/2023,,,7.465,,,
Guarani das Missões/RS,Sim,26/08/2020,,,7.393,,,
Ibiraiaras/RS,Sim,16/02/2023,,,7.267,,,
Coronel Bicaco/RS,Sim,24/09/2020,,,7.213,,,
São José do Ouro/RS,Sim,30/04/2021,,,6.911,,,
Hulha Negra/RS,Sim,23/09/2021,,,6.894,,,
Santa Clara do Sul/RS,Sim,20/05/2021,,,6.755,,,
Maquiné/RS,Sim,30/06/2020,,,6.747,,,
Ipê/RS,Sim,23/12/2020,04/05/2021,,6.736,,,
Erval Seco/RS,Sim,14/01/2022,,,6.697,,,
Faxinal do Soturno/RS,Sim,13/04/2021,,,6.651,,,
Morro Reuter/RS,Sim,29/09/2020,,,6.570,,,
Formigueiro/RS,Sim,30/06/2021,,,6.569,,,
Nova Palma/RS,Sim,12/07/2021,,,6.519,,,
Progresso/RS,Sim,16/12/2021,,,6.235,,,
Barão/RS,Sim,07/07/2020,,,6.232,,,
Rodeio Bonito/RS,Sim,05/05/2021,,,5.868,,,
Araricá/RS,Sim,06/10/2021,,,5.840,,,
Trindade do Sul/RS,Sim,29/11/2021,,,5.781,,,
Picada Café/RS,Sim,09/09/2020,,,5.780,,,
Sentinela do Sul/RS,Sim,13/10/2020,,,5.635,,,
Tucunduva/RS,Sim,18/03/2020,,,5.612,,,
Tavares/RS,Sim,19/05/2021,,,5.484,,,
Campinas do Sul/RS,Sim,07/07/2021,,,5.422,,,
São Martinho/RS,Sim,20/04/2021,,,5.336,,,
Selbach/RS,Sim,16/03/2021,22/03/2021,,5.114,,,
Cacique Doubles/RS,Sim,25/06/2021,,,5.083,,,
Parobé/RS,Não,,,,58.858,Não,,
São Lourenço do Sul/RS,Não,,,,43.540,Não,,
Caçapava do Sul/RS,Não,,,,33.476,Há interesse do vereador,,
São Luiz Gonzaga/RS,Não,,,,33.124,Não,,
Candelária/RS,Não,,,,31.475,Não,,
Santa Vitória do Palmar/RS,Não,,,,29.298,Não,,
Taquari/RS,Não,,,,26.907,Não,,
Jaguarão/RS,Não,,,,26.327,PL 0018/2021,,
Capão do Leão/RS,Não,,,,25.462,PL nº 059/2021,,
São Jerônimo/RS,Não,,,,24.627,Não,,
Nova Hartz/RS,Não,,,,22.147,Não,,
Rolante/RS,Não,,,,21.591,Não,,
Arroio Grande/RS,Não,,,,18.185,Não,,
São Francisco de Assis/RS,Não,,,,18.081,PL 18/2020,,
Cidreira/RS,Não,,,,16.897,Não,,
Sananduva/RS,Não,,,,16.382,Não,,
Dom Feliciano/RS,Não,,,,15.556,Não,,
Sobradinho/RS,Não,,,,15.041,Não,,
Balneário Pinhal/RS,Não,,,,14.645,Não,,
Cerro Largo/RS,Não,,,,14.243,Não,,
Barra do Ribeiro/RS,Não,,,,13.618,Não,,
