Município,Aprovou?,Data aprovação,Atualização,Atualização 2,Atualização 3,População,Projeto?,Aprovado?,Sancionado?
Itacaré/BA,Não,,,,,29.051,Não,,
Campo Alegre de Lourdes/BA,Não,,,,,28.839,Não,,
Nazaré/BA,Não,,,,,28.661,Não,,
Santa Rita de Cássia/BA,Não,,,,,28.613,Não,,
Olindina/BA,Não,,,,,28.373,Não,,
Presidente Tancredo Neves/BA,Não,,,,,28.272,Não,,
Prado/BA,Não,,,,,28.214,Não,,
Santa Cruz Cabrália/BA,Não,,,,,28.058,Não,,
Quijingue/BA,Não,,,,,27.672,Não,,
Ubatã/BA,Não,,,,,27.481,Não,,
Lapão/BA,Não,,,,,27.323,Não,,
Mundo Novo/BA,Não,,,,,27.153,Não,,
Nova Soure/BA,Não,,,,,27.047,Não,,
Iguaí/BA,Não,,,,,27.006,Não,,
Santana/BA,Não,,,,,26.792,Não,,
Planalto/BA,Não,,,,,26.581,Não,,
Canarana/BA,Não,,,,,26.468,Não,,
Castro Alves/BA,Não,,,,,26.369,Não,,
Conde/BA,Não,,,,,26.223,Não,,
Formosa do Rio Preto/BA,Não,,,,,26.111,Não,,
Miguel Calmon/BA,Não,,,,,25.771,Não,,
João Dourado/BA,Não,,,,,25.606,Não,,
Queimadas/BA,Não,,,,,25.428,Não,,
Piritiba/BA,Não,,,,,25.162,Não,,
Amélia Rodrigues/BA,Não,,,,,24.997,Não,,
Cândido Sales/BA,Não,,,,,24.921,Não,,
Laje/BA,Não,,,,,24.214,Não,,
Uauá/BA,Não,,,,,23.991,Não,,
Iaçu/BA,Não,,,,,23.950,Não,,
Belmonte/BA,Não,,,,,23.540,Não,,
Ibirapitanga/BA,Não,,,,,23.433,Não,,
Caculé/BA,Não,,,,,23.407,Não,,
Sobradinho/BA,Não,,,,,23.274,Não,,
Conceição da Feira/BA,Não,,,,,22.933,Não,,
Medeiros Neto/BA,Não,,,,,22.741,Não,,
Rafael Jambeiro/BA,Não,,,,,22.643,Não,,
Teofilândia/BA,Não,,,,,22.590,Não,,
Alcobaça/BA,Não,,,,,22.509,Não,,
Itambé/BA,Não,,,,,22.474,Não,,
Itaparica/BA,Não,,,,,22.440,Não,,
Coração de Maria/BA,Não,,,,,22.391,Não,,
Riachão das Neves/BA,Não,,,,,22.330,Não,,
Caravelas/BA,Não,,,,,22.166,Não,,
Palmas de Monte Alto/BA,Não,,,,,21.840,Não,,
Oliveira dos Brejinhos/BA,Não,,,,,21.797,Não,,
Paramirim/BA,Não,,,,,21.777,Não,,
Madre de Deus/BA,Não,,,,,21.754,Não,,
Boquira/BA,Não,,,,,21.486,Não,,
Taperoá/BA,Não,,,,,21.421,Não,,
Buritirama/BA,Não,,,,,21.374,Não,,
Anagé/BA,Não,,,,,21.229,Não,,
Crisópolis/BA,Não,,,,,21.219,Não,,
São Felipe/BA,Não,,,,,21.083,Não,,
Santa Bárbara/BA,Não,,,,,20.971,Não,,
Wenceslau Guimarães/BA,Não,,,,,20.862,Não,,
Governador Mangabeira/BA,Não,,,,,20.800,Não,,
Maraú/BA,Não,,,,,20.664,Não,,
Abaré/BA,Não,,,,,20.594,Não,,
Guaratinga/BA,Não,,,,,20.565,Não,,
Baixa Grande/BA,Não,,,,,20.431,Não,,
Tanhaçu/BA,Não,,,,,20.383,Não,,
Uruçuca/BA,Não,,,,,20.312,Não,,
Itajuípe/BA,Não,,,,,20.309,Não,,
Barra da Estiva/BA,Não,,,,,20.198,Não,,
Pindobaçu/BA,Não,,,,,20.048,Não,,
Ibicoara/BA,Não,,,,,19.900,Não,,
Maracás/BA,Não,,,,,19.973,Não,,
Itarantim/BA,Não,,,,,19.937,Não,,
Ubaíra/BA,Não,,,,,19.860,Não,,
Antas/BA,Não,,,,,19.659,Não,,
Umburanas/BA,Não,,,,,19.573,Não,,
Utinga/BA,Não,,,,,19.330,Não,,
Itanhém/BA,Não,,,,,19.231,Não,,
Jaguaripe/BA,Não,,,,,19.162,Não,,
Ituaçu/BA,Não,,,,,19.095,Não,,
Macarani/BA,Não,,,,,19.056,Não,,
Cabaceiras do Paraguaçu/BA,Não,,,,,19.010,Não,,
