Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?,Observação
Angelândia/MG,Não,,,8.594,Não,,,
Araponga/MG,Não,,,8.467,Não,,,
Pavão/MG,Não,,,8.390,Não,,,
Montezuma/MG,Não,,,8.379,Não,,,
Rodeiro/MG,Não,,,8.333,Não,,,
Pains/MG,Não,,,8.308,Não,,,
Guiricema/MG,Não,,,8.296,Não,,,
Pocrane/MG,Não,,,8.288,Não,,,
Alto Jequitibá/MG,Não,,,8.286,Não,,,
Santa Bárbara do Leste/MG,Não,,,8.212,Não,,,
Orizânia/MG,Não,,,8.138,Não,,,
Maravilhas/MG,Não,,,8.113,Não,,,
Estrela do Sul/MG,Não,,,8.057,Não,,,
Passa Tempo/MG,Não,,,8.031,Não,,,
Senador Firmino/MG,Não,,,7.902,Não,,,
Durandé/MG,Não,,,7.898,Não,,,
São Vicente de Minas/MG,Não,,,7.876,Não,,,
Cônego Marinho/MG,Não,,,7.730,Não,,,
Belo Vale/MG,Não,,,7.723,Não,,,
Jacuí/MG,Não,,,7.695,Não,,,
Tombos/MG,Não,,,7.683,Não,,,
São Pedro dos Ferros/MG,Não,,,7.634,Não,,,
Felisburgo/MG,Não,,,7.548,Não,,,
Pintópolis/MG,Não,,,7.540,Não,,,
Santana de Pirapama/MG,Não,,,7.538,Não,,,
São José da Barra/MG,Não,,,7.532,Não,,,
Nova Porteirinha/MG,Não,,,7.493,Não,,,
Claro dos Poções/MG,Não,,,7.478,Não,,,
Jequitaí/MG,Não,,,7.407,Não,,,
São João do Oriente/MG,Não,,,7.393,Não,,,
Inconfidentes/MG,Não,,,7.387,Não,,,
Sericita/MG,Não,,,7.340,Não,,,
Santa Rita de Minas/MG,Não,,,7.322,Não,,,
Desterro de Entre Rios/MG,Não,,,7.266,Não,,,
Reduto/MG,Não,,,7.247,Não,,,
Engenheiro Navarro/MG,Não,,,7.240,Não,,,
Varjão de Minas/MG,Não,,,7.235,Não,,,
Pedra Bonita/MG,Não,,,7.157,Não,,,
São Tomé das Letras/MG,Não,,,7.151,Não,,,
Delfinópolis/MG,Não,,,7.146,Não,,,
Central de Minas/MG,Não,,,7.059,Não,,,
Abadia dos Dourados/MG,Não,,,7.022,Não,,,
Salto da Divisa/MG,Não,,,7.014,Não,,,
Indianópolis/MG,Não,,,7.009,Não,,,
Araporã/MG,Não,,,6.992,Não,,,
Imbé de Minas/MG,Não,,,6.976,Não,,,
São Miguel do Anta/MG,Não,,,6.949,Não,,,
São Sebastião do Oeste/MG,Não,,,6.948,Não,,,
Divisa Alegre/MG,Não,,,6.946,Não,,,
Bonfim/MG,Não,,,6.852,Não,,,
Careaçu/MG,Não,,,6.826,Não,,,
Crisólita/MG,Não,,,6.814,Não,,,
Cipotânea/MG,Não,,,6.811,Não,,,
Tumiritinga/MG,Não,,,6.797,Não,,,
Luislândia/MG,Não,,,6.735,Não,,,
São Sebastião do Anta/MG,Não,,,6.697,Não,,,
Ijaci/MG,Não,,,6.667,Não,,,
Heliodora/MG,Não,,,6.623,Não,,,
Palma/MG,Não,,,6.606,Não,,,
Mamonas/MG,Não,,,6.565,Não,,,
Guarda-Mor/MG,Não,,,6.558,Não,,,
São Francisco de Paula/MG,Não,,,6.512,Não,,,
Mendes Pimentel/MG,Não,,,6.446,Não,,,
Santa Helena de Minas/MG,Não,,,6.406,Não,,,
Piracema/MG,Não,,,6.386,Não,,,
Inhaúma/MG,Não,,,6.352,Não,,,
Toledo/MG,Não,,,6.336,Não,,,
São Francisco de Sales/MG,Não,,,6.309,Não,,,
Silvianópolis/MG,Não,,,6.258,Não,,,
Luisburgo/MG,Não,,,6.249,Não,,,
Soledade de Minas/MG,Não,,,6.226,Não,,,
Bom Jesus do Amparo/MG,Não,,,6.182,Não,,,
Pai Pedro/MG,Não,,,6.098,Não,,,
Divisa Nova/MG,Não,,,6.039,Não,,,
Patis/MG,Não,,,6.031,Não,,,
Itumirim/MG,Não,,,5.978,Não,,,
São João do Manteninha/MG,Não,,,5.975,Não,,,
Aiuruoca/MG,Não,,,5.949,Não,,,
Alto Caparaó/MG,Não,,,5.938,Não,,,
Rio Manso/MG,Não,,,5.924,Não,,,
Pouso Alto/MG,Não,,,5.862,Não,,,
Patrocínio do Muriaé/MG,Não,,,5.744,Não,,,
Veredinha/MG,Não,,,5.733,Não,,,
Juvenília/MG,Não,,,5.706,Não,,,
Chalé/MG,Não,,,5.695,Não,,,
São Domingos das Dores/MG,Não,,,5.672,Não,,,
São Sebastião da Bela Vista/MG,Não,,,5.598,Não,,,
Cana Verde/MG,Não,,,5.585,Não,,,
Caiana/MG,Não,,,5.584,Não,,,
Conceição do Pará/MG,Não,,,5.558,Não,,,
Gurinhatã/MG,Não,,,5.516,Não,,,
Rio Preto/MG,Não,,,5.493,Não,,,
Sobrália/MG,Não,,,5.476,Não,,,
Caparaó/MG,Não,,,5.464,Não,,,
Luminárias/MG,Não,,,5.431,Não,,,
Santa Rita do Itueto/MG,Não,,,5.426,Não,,,
São Bento Abade/MG,Não,,,5.411,Não,,,
Bonfinópolis de Minas/MG,Não,,,5.397,Não,,,
Senador Amaral/MG,Não,,,5.365,Não,,,
Ibiracatu/MG,Não,,,5.340,Não,,,
Rio Espera/MG,Não,,,5.332,Não,,,
Itaverava/MG,Não,,,5.321,Não,,,
Barão de Monte Alto/MG,Não,,,5.311,Não,,,
Santa Maria de Salto/MG,Não,,,5.203,Não,,,
Palmópolis/MG,Não,,,5.196,Não,,,
São José da Varginha/MG,Não,,,5.151,Não,,,
Rio do Prado/MG,Não,,,5.117,Não,,,
José Raydan/MG,Não,,,5.104,Não,,,
Turvolândia/MG,Não,,,5.099,Não,,,
Bocaína de Minas/MG,Não,,,5.088,Não,,,
Gameleiras/MG,Não,,,5.084,Não,,,
Crucilândia/MG,Não,,,5.072,Não,,,
Congonhas do Norte/MG,Não,,,5.047,Não,,,
Vargem Grande do Rio Pardo/MG,Não,,,5.045,Não,,,
Piedade dos Gerais/MG,Não,,,5.034,Não,,,
Pingo-d'Água/MG,Não,,,5.029,Não,,,
