Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Santa Cruz/PE,Não,,,15.713,Não,,
Frei Miguelinho/PE,Não,,,15.633,Não,,
Mirandiba/PE,Não,,,15.548,Não,,
Jurema/PE,Não,,,15.483,Não,,
Orocó/PE,Não,,,15.309,Não,,
Triunfo/PE,Não,,,15.232,Não,,
Primavera/PE,Não,,,15.231,Não,,
Jupi/PE,Não,,,15.007,Não,,
Jatobá/PE,Não,,,14.904,Não,,
Alagoinha/PE,Não,,,14.798,Não,,
Xexéu/PE,Não,,,14.789,Não,,
Santa Filomena/PE,Não,,,14.645,Não,,
Barra de Guabiraba/PE,Não,,,14.632,Não,,
Casinhas/PE,Não,,,14.395,Não,,
Santa Maria do Cambucá/PE,Não,,,14.308,Não,,
Tracunhaém/PE,Não,,,13.856,Não,,
Chá de Alegria/PE,Não,,,13.641,Não,,
Itapetim/PE,Não,,,13.492,Não,,
Lagoa do Ouro/PE,Não,,,13.300,Não,,
Buenos Aires/PE,Não,,,13.224,Não,,
Carnaubeira da Penha/PE,Não,,,13.117,Não,,
Tacaimbó/PE,Não,,,12.843,Não,,
Betânia/PE,Não,,,12.811,Não,,
Santa Cruz da Baixa Verde/PE,Não,,,12.708,Não,,
Cortês/PE,Não,,,12.543,Não,,
Iguaracy/PE,Não,,,12.265,Não,,
Ferreiros/PE,Não,,,12.216,Não,,
Belém de Maria/PE,Não,,,12.169,Não,,
Cedro/PE,Não,,,11.972,Não,,
Santa Terezinha/PE,Não,,,11.914,Não,,
Jaqueira/PE,Não,,,11.632,Não,,
Paranatama/PE,Não,,,11.608,Não,,
Jucati/PE,Não,,,11.545,Não,,
Poção/PE,Não,,,11.308,Não,,
Angelim/PE,Não,,,11.301,Não,,
Moreilândia/PE,Não,,,11.269,Não,,
Salgadinho/PE,Não,,,11.214,Não,,
Maraial/PE,Não,,,11.098,Não,,
Calçado/PE,Não,,,10.983,Não,,
Terra Nova/PE,Não,,,10.314,Não,,
Sairé/PE,Não,,,9.600,Não,,
