Município,Aprovou?,Data aprovação,Atualização,Atualização 2,População,Projeto?,Aprovado?,Sancionado?
Ascurra/SC,Sim,29/03/2023,,,8.021,,,
Paulo Lopes/SC,Sim,14/11/2019,,,7.642,,,
Rio do Oeste/SC,Sim,16/11/2022,,,7.552,,,
Trombudo Central/SC,Sim,31/07/2019,,,7.506,,,
São João do Sul/SC,Sim,08/06/2022,,,7.332,,,
Palma Sola/SC,Sim,06/09/2022,,,7.321,,,
Praia Grande/SC,Sim,15/09/2022,,,7.305,,,
Água Doce/SC,Sim,14/07/2022,,,7.160,,,
Treze de Maio/SC,Sim,22/02/2023,,,7.104,,,
Meleiro/SC,Sim,11/01/2023,,,6.989,,,
Campo Belo do Sul/SC,Sim,03/11/2022,,,6.889,,,
Águas Mornas/SC,Sim,08/12/2022,,,6.646,,,
Grão Pará/SC,Sim,21/11/2022,,,6.621,,,
Águas de Chapecó/SC,Sim,05/05/2022,,,6.544,,,
Vidal Ramos/SC,Sim,26/04/2022,,,6.321,,,
Imbuia/SC,Sim,22/09/2022,,,6.284,,,
Rio das Antas/SC,Sim,14/04/2022,,,6.199,,,
Itá/SC,Sim,28/06/2022,,,6.091,,,
Petrolândia/SC,Sim,28/09/2022,,,5.873,,,
Rio do Campo/SC,Sim,30/11/2022,,,5.864,,,
Luzerna/SC,Sim,03/12/2019,16/12/2019,,5.683,,,
São Cristóvão do Sul/SC,Sim,09/03/2020,,,5.646,,,
Agronômica/SC,Sim,23/03/2022,,,5.570,,,
Anchieta/SC,Sim,15/06/2022,,,5.477,,,
Timbé do Sul/SC,Sim,05/07/2022,,,5.338,,,
José Boiteux/SC,Sim,23/03/2022,,,5.019,,,
Itajaí/SC,Não,,,,223.112,Não,,
Içara/SC,Não,,,,57.247,PLC 06/2022,,
Videira/SC,Não,,,,53.610,Não,,
Campos Novos/SC,Não,,,,36.556,PL 17/2021,Não,Vetado
Pomerode/SC,Não,,,,34.561,Não,,
Braço do Norte/SC,Não,,,,34.294,Não,,
Sombrio/SC,Não,,,,31.084,Não,,
São Joaquim/SC,Não,,,,27.322,Não,,
São Lourenço do Oeste/SC,Não,,,,24.501,Não,,
Balneário Piçarras/SC,Não, ,,,24.385,Não,,
Santo Amaro da Imperatriz/SC,Não,,,,23.907,Não,,
Herval d'Oeste/SC,Não,,,,22.820,Não,,
Schroeder/SC,Não,,,,22.605,Não,,
Urussanga/SC,Não,,,,21.419,Não,,
Papanduva/SC,Não,,,,19.521,Não,,
Presidente Getúlio/SC,Não,,,,17.973,Não,,
Massaranduba/SC,Não,,,,17.330,Não,,
Santa Cecília/SC,Não,,,,17.004,Não,,
Cocal do Sul/SC,Não,,,,16.956,Revogou a lei que tinha,,
Palmitos/SC,Não,,,,16.144,Não,,
Dionísio Cerqueira/SC,Não,,,,15.592,Não,,
Governador Celso Ramos/SC,Não,,,,14.739,Não,,
Ilhota/SC,Não,,,,14.531,Não,,
Siderópolis/SC,Não,,,,14.176,Não,,
São Ludgero/SC,Não,,,,13.886,Não,,
Balneário Arroio do Silva/SC,Não,,,,13.782,Não,,
Balneário Rincão/SC,Não,,,,13.129,Não,,
Sangão/SC,Não,,,,13.128,Não,,
Correia Pinto/SC,Não,,,,12.315,Não,,
Benedito Novo/SC,Não,,,,11.896,Não,,
São Carlos/SC,Não,,,,11.456,Não,,
Cunha Porã/SC,Não,,,,11.150,Não,,
Catanduvas/SC,Não,,,,11.106,Não,,
Jacinto Machado/SC,Não,,,,10.337,Não,,
Bom Retiro/SC,Não,,,,10.153,Não,,
Guaraciaba/SC,Não,,,,9.964,Não,,
Monte Carlo/SC,Não,,,,9.945,Não,,
Quilombo/SC,Não,,,,9.773,Não,,
São Domingos/SC,Não,,,,9.422,Não,,
Passo de Torres/SC,Não,,,,9.269,Não,,
Iporã do Oeste/SC,Não,,,,9.093,Não,,
Santa Terezinha/SC,Não,,,,8.760,Não,,
Antônio Carlos/SC,Não,,,,8.712,Não,,
Santa Rosa do Sul/SC,Não,,,,8.397,Não,,
Campo Erê/SC,Não,,,,8.312,Não,,
Major Vieira/SC,Não,,,,8.209,Não,,
Descanso/SC,Não,,,,8.136,Não,,
Timbó Grande/SC,Não,,,,8.003,Não,,
Salete/SC,Não,,,,7.674,Não,,
Ipumirim/SC,Não,,,,7.647,Não,,
Ipuaçu/SC,Não,,,,7.643,Não,,
Maracajá/SC,Não,,,,7.461,Não,,
Ouro/SC,Não,,,,7.251,Não,,
Laurentino/SC,Não,,,,7.154,Não,,
Anita Garibaldi/SC,Não,,,,6.783,Não,,
São João do Oeste/SC,Não,,,,6.423,Não,,
Bela Vista do Toldo/SC,Não,,,,6.386,Não,,
Caibi/SC,Não,,,,6.112,Não,,
São Pedro de Alcântara/SC,Não,,,,6.046,Não,,
Aurora/SC,Não,,,,5.687,Não,,
Botuverá/SC,Não,,,,5.396,Não,,
Guarujá do Sul/SC,Não,,,,5.196,Não,,
Nova Erechim/SC,Não,,,,5.163,Não,,
