Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Cafelândia/PR,Não,,,18.783,Não,,
Cerro Azul/PR,Não,,,17.884,Não,,
Terra Roxa/PR,Não,,,17.562,Não,,
Faxinal/PR,Não,,,17.379,Não,,
Terra Boa/PR,Não,,,17.304,Não,,
Corbélia/PR,Não,,,17.162,Não,,
Terra Rica/PR,Não,,,17.054,Não,,
Mangueirinha/PR,Não,,,16.572,Não,,
Tapejara/PR,Não,,,16.480,Não,,
Bituruna/PR,Não,,,16.411,Não,,
Clevelândia/PR,Não,,,16.344,Não,,
Candói/PR,Não,,,16.126,Não,,
Capitão Leônidas Marques/PR,Não,,,15.887,Não,,
Rio Azul/PR,Não,,,15.433,Não,,
Ipiranga/PR,Não,,,15.327,Não,,
Curiúva/PR,Não,,,15.289,Não,,
Tamarana/PR,Não,,,15.277,Não,,
Rebouças/PR,Não,,,14.991,Não,,
Salto do Lontra/PR,Não,,,14.957,Não,,
Alto Paraná/PR,Não,,,14.945,Não,,
Santa Izabel do Oeste/PR,Não,,,14.924,Não,,
Assaí/PR,Não,,,14.792,Não,,
Cândido de Abreu/PR,Não,,,14.606,Não,,
Carlópolis/PR,Não,,,14.391,Não,,
Paraíso do Norte/PR,Não,,,14.211,Não,,
Ivaí/PR,Não,,,14.049,Não,,
Araruna/PR,Não,,,14.029,Não,,
Peabiru/PR,Não,,,14.017,Não,,
Engenheiro Beltrão/PR,Não,,,13.962,Não,,
Campina da Lagoa/PR,Não,,,13.888,Não,,
Jaguapitã/PR,Não,,,13.861,Não,,
Mallet/PR,Não,,,13.697,Não,,
General Carneiro/PR,Não,,,13.661,Não,,
Manoel Ribas/PR,Não,,,13.517,Não,,
Imbaú/PR,Não,,,13.449,Não,,
Planalto/PR,Não,,,13.385,Não,,
Cantagalo/PR,Não,,,13.340,Não,,
Rio Bonito do Iguaçu/PR,Não,,,13.240,Não,,
Balsa Nova/PR,Não,,,13.238,Não,,
Nova Londrina/PR,Não,,,13.188,Não,,
Piên/PR,Não,,,13.015,Não,,
Turvo/PR,Não,,,12.977,Não,,
Cidade Gaúcha/PR,Não,,,12.939,Não,,
Mamborê/PR,Não,,,12.900,Não,,
Ribeirão do Pinhal/PR,Não,,,12.869,Não,,
Teixeira Soares/PR,Não,,,12.761,Não,,
Palmital/PR,Não,,,12.755,Não,,
Jataizinho/PR,Não,,,12.687,Não,,
Porecatu/PR,Não,,,12.587,Não,,
Santa Fé/PR,Não,,,12.330,Não,,
Ventania/PR,Não,,,12.267,Não,,
Querência do Norte/PR,Não,,,12.257,Não,,
Itapejara d'Oeste/PR,Não,,,12.220,Não,,
Joaquim Távora/PR,Não,,,12.108,Não,,
Três Barras do Paraná/PR,Não,,,12.036,Não,,
Guaraniaçu/PR,Não,,,11.969,Não,,
Moreira Sales/PR,Não,,,11.966,Não,,
Céu Azul/PR,Não,,,11.872,Não,,
Paranacity/PR,Não,,,11.685,Não,,
Alvorada do Sul/PR,Não,,,11.598,Não,,
Itaipulândia/PR,Não,,,11.588,Não,,
Santa Mariana/PR,Não,,,11.523,Não,,
Nova Laranjeiras/PR,Não,,,11.462,Não,,
Pérola/PR,Não,,,11.406,Não,,
Barbosa Ferraz/PR,Não,,,11.287,Não,,
Uraí/PR,Não,,,11.233,Não,,
Primeiro de Maio/PR,Não,,,11.138,Não,,
Inácio Martins/PR,Não,,,11.117,Não,,
São Pedro do Ivaí/PR,Não,,,11.109,Não,,
São Jerônimo da Serra/PR,Não,,,11.088,Não,,
Jardim Alegre/PR,Não,,,11.067,Não,,
Mauá da Serra/PR,Não,,,10.994,Não,,
Centenário do Sul/PR,Não,,,10.704,Não,,
