Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Quatipuru/PA,Não,,,13.794,Não,,
Piçarra/PA,Não,,,12.976,Não,,
Colares/PA,Não,,,12.175,Não,,
Inhangapi/PA,Não,,,12.009,Não,,
Terra Alta/PA,Não,,,11.971,Não,,
Senador José Porfírio/PA,Não,,,11.305,Não,,
Primavera/PA,Não,,,10.889,Não,,
Santa Cruz do Arari/PA,Não,,,10.496,Não,,
Magalhães Barata/PA,Não,,,8.598,Não,,
Peixe-Boi/PA,Não,,,8.084,Não,,
Palestina do Pará/PA,Não,,,7.575,Não,,
Abel Figueiredo/PA,Não,,,7.536,Não,,
Brejo Grande do Araguaia/PA,Não,,,7.357,Não,,
Jacareacanga/PA,Não,,,6.952,Não,,
Faro/PA,Não,,,6.949,Não,,
Santarém Novo/PA,Não,,,6.796,Não,,
São João da Ponta/PA,Não,,,6.294,Não,,
Sapucaia/PA,Não,,,6.088,Não,,
Pau-d'Arco/PA,Não,,,5.339,Não,,
