Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Porteiras/CE,Não,,14.920,Não,,
Mucambo/CE,Não,,14.561,Não,,
Graça/CE,Não,,14.415,Não,,
Iracema/CE,Não,,14.351,Não,,
Frecheirinha/CE,Não,,14.195,Não,,
Uruoca/CE,Não,,13.988,Não,,
Miraíma/CE,Não,,13.965,Não,,
Choró/CE,Não,,13.608,Não,,
Palmácia/CE,Não,,13.553,Não,,
Ibaretama/CE,Não,,13.385,Não,,
Milhã/CE,Não,,13.129,Não,,
Chaval/CE,Não,,13.112,Não,,
São Luís do Curu/CE,Não,,13.086,Não,,
Ibicuitinga/CE,Não,,12.730,Não,,
Ipaumirim/CE,Não,,12.507,Não,,
Poranga/CE,Não,,12.358,Não,,
Pacoti/CE,Não,,12.313,Não,,
Paramoti/CE,Não,,12.276,Não,,
Abaiara/CE,Não,,11.965,Não,,
Alcântaras/CE,Não,,11.846,Não,,
Aratuba/CE,Não,,11.759,Não,,
Ipaporanga/CE,Não,,11.597,Não,,
Jaguaribara/CE,Não,,11.580,Não,,
Martinópole/CE,Não,,11.407,Não,,
Groaíras/CE,Não,,11.219,Não,,
Potengi/CE,Não,,11.165,Não,,
Mulungu/CE,Não,,11.056,Não,,
Pires Ferreira/CE,Não,,11.052,Não,,
Ararendá/CE,Não,,10.983,Não,,
Catunda/CE,Não,,10.410,Não,,
Deputado Irapuan Pinheiro/CE,Não,,9.698,Não,,
Palhano/CE,Não,,9.458,Não,,
Penaforte/CE,Não,,9.207,Não,,
Moraújo/CE,Não,,8.833,Não,,
Tarrafas/CE,Não,,8.555,Não,,
Jati/CE,Não,,8.150,Não,,
Itaiçaba/CE,Não,,7.904,Não,,
Arneiroz/CE,Não,,7.848,Não,,
Senador Sá/CE,Não,,7.758,Não,,
Umari/CE,Não,,7.740,Não,,
Altaneira/CE,Não,,7.712,Não,,
São João do Jaguaribe/CE,Não,,7.557,Não,,
Antonina do Norte/CE,Não,,7.402,Não,,
Ereré/CE,Não,,7.254,Não,,
Pacujá/CE,Não,,6.565,Não,,
Potiretama/CE,Não,,6.455,Não,,
Baixio/CE,Não,,6.318,Não,,
Guaramiranga/CE,Não,,5.073,Não,,
